test SNR, -10.000, test loss, 39.17410 ,testNMSE, -29.45746, testNMSE_ntscc, -8.61330, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 63.99561
test SNR, -9.000, test loss, 28.67753 ,testNMSE, -29.45746, testNMSE_ntscc, -10.02542, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 64.00086
test SNR, -8.000, test loss, 22.16854 ,testNMSE, -29.45746, testNMSE_ntscc, -11.19986, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 63.99603
test SNR, -7.000, test loss, 16.47839 ,testNMSE, -29.45746, testNMSE_ntscc, -12.57349, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 64.00069
test SNR, -6.000, test loss, 13.10976 ,testNMSE, -29.45746, testNMSE_ntscc, -13.64578, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 63.99248
test SNR, -5.000, test loss, 10.67648 ,testNMSE, -29.45746, testNMSE_ntscc, -14.62753, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 63.98917
test SNR, -4.000, test loss, 9.80188 ,testNMSE, -29.45746, testNMSE_ntscc, -15.00789, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 63.98730
test SNR, -3.000, test loss, 8.53042 ,testNMSE, -29.45746, testNMSE_ntscc, -15.67809, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 64.00069
test SNR, -2.000, test loss, 6.73621 ,testNMSE, -29.45746, testNMSE_ntscc, -16.90207, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 64.00009
test SNR, -1.000, test loss, 5.97900 ,testNMSE, -29.45746, testNMSE_ntscc, -17.51086, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 63.99070
test SNR, 0.000, test loss, 5.43188 ,testNMSE, -29.45746, testNMSE_ntscc, -18.01376, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 63.99128
test SNR, 1.000, test loss, 4.98376 ,testNMSE, -29.45746, testNMSE_ntscc, -18.47038, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 63.98704
test SNR, 2.000, test loss, 4.66457 ,testNMSE, -29.45746, testNMSE_ntscc, -18.83210, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 63.99087
test SNR, 3.000, test loss, 4.39464 ,testNMSE, -29.45746, testNMSE_ntscc, -19.16268, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 63.99350
test SNR, 4.000, test loss, 4.19069 ,testNMSE, -29.45746, testNMSE_ntscc, -19.43002, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 63.99632
test SNR, 5.000, test loss, 4.03378 ,testNMSE, -29.45746, testNMSE_ntscc, -19.64349, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 63.99941
test SNR, 6.000, test loss, 3.90756 ,testNMSE, -29.45746, testNMSE_ntscc, -19.82587, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 64.00593
test SNR, 7.000, test loss, 3.79531 ,testNMSE, -29.45746, testNMSE_ntscc, -19.99537, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 64.00598
test SNR, 8.000, test loss, 3.71157 ,testNMSE, -29.45746, testNMSE_ntscc, -20.12434, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 64.00329
test SNR, 9.000, test loss, 3.64104 ,testNMSE, -29.45746, testNMSE_ntscc, -20.23747, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 64.00886
test SNR, 10.000, test loss, 4.23939 ,testNMSE, -29.45746, testNMSE_ntscc, -19.26367, testBpp_y, 0.56753, testBpp_z, 0.00000, test_symboNum, 64.00846
